data_id,indicator,survey_id,is_preferred,value,sdrid,precision,region_id,survey_year_label,survey_type,survey_year,indicator_order,dhs_country_code,ci_low,country_name,indicator_type,characteristic_id,characteristic_category,indicator_id,characteristic_order,characteristic_label,by_variable_label,denominator_unweighted,denominator_weighted,ci_high,is_total,by_variable_id,.
2636988,Children stunted,KE2014DHS,1,26.9,CNNUTSCHA2,1,KEDHS2014416059,2014,DHS,2014,104236020,KE,NA,Kenya,I,416059,Region,CN_NUTS_C_HA2,1416059,..Laikipia,NA,384,211,NA,0,0,NA
2235169,Children stunted,KE2014DHS,1,27.6,CNNUTSCHA2,1,KEDHS2014416060,2014,DHS,2014,104236020,KE,NA,Kenya,I,416060,Region,CN_NUTS_C_HA2,1416060,..Nakuru,NA,432,840,NA,0,0,NA
3206163,Children stunted,KE2014DHS,1,29.8,CNNUTSCHA2,1,KEDHS2014416006,2014,DHS,2014,104236020,KE,NA,Kenya,I,416006,Region,CN_NUTS_C_HA2,1416060,Rift Valley,NA,6608,5466,NA,0,0,NA
3208179,Children stunted,KE2014DHS,1,32.9,CNNUTSCHA2,1,KEDHS2014416061,2014,DHS,2014,104236020,KE,NA,Kenya,I,416061,Region,CN_NUTS_C_HA2,1416061,..Narok,NA,657,628,NA,0,0,NA
1987321,Children stunted,KE2014DHS,1,18.2,CNNUTSCHA2,1,KEDHS2014416062,2014,DHS,2014,104236020,KE,NA,Kenya,I,416062,Region,CN_NUTS_C_HA2,1416062,..Kajiado,NA,435,400,NA,0,0,NA
1917747,Children stunted,KE2014DHS,1,28.7,CNNUTSCHA2,1,KEDHS2014416063,2014,DHS,2014,104236020,KE,NA,Kenya,I,416063,Region,CN_NUTS_C_HA2,1416063,..Kericho,NA,384,311,NA,0,0,NA
1720312,Children stunted,KE2014DHS,1,35.5,CNNUTSCHA2,1,KEDHS2014416064,2014,DHS,2014,104236020,KE,NA,Kenya,I,416064,Region,CN_NUTS_C_HA2,1416064,..Bomet,NA,474,472,NA,0,0,NA
1723426,Children stunted,KE2014DHS,1,25.2,CNNUTSCHA2,1,KEDHS2014416007,2014,DHS,2014,104236020,KE,NA,Kenya,I,416007,Region,CN_NUTS_C_HA2,1416070,Western,NA,2124,2476,NA,0,0,NA
2374982,Children stunted,KE2014DHS,1,28.4,CNNUTSCHA2,1,KEDHS2014416071,2014,DHS,2014,104236020,KE,NA,Kenya,I,416071,Region,CN_NUTS_C_HA2,1416071,..Kakamega,NA,545,845,NA,0,0,NA
1229870,Children stunted,KE2014DHS,1,23.5,CNNUTSCHA2,1,KEDHS2014416072,2014,DHS,2014,104236020,KE,NA,Kenya,I,416072,Region,CN_NUTS_C_HA2,1416072,..Vihiga,NA,445,260,NA,0,0,NA
905195,Children stunted,KE2014DHS,1,24.4,CNNUTSCHA2,1,KEDHS2014416073,2014,DHS,2014,104236020,KE,NA,Kenya,I,416073,Region,CN_NUTS_C_HA2,1416073,..Bungoma,NA,605,938,NA,0,0,NA
1124767,Children stunted,KE2014DHS,1,22,CNNUTSCHA2,1,KEDHS2014416074,2014,DHS,2014,104236020,KE,NA,Kenya,I,416074,Region,CN_NUTS_C_HA2,1416074,..Busia,NA,529,433,NA,0,0,NA
1333431,Children stunted,KE2014DHS,1,24.7,CNNUTSCHA2,1,KEDHS2014416008,2014,DHS,2014,104236020,KE,NA,Kenya,I,416008,Region,CN_NUTS_C_HA2,1416080,North Eastern,NA,1485,604,NA,0,0,NA
1987351,Children stunted,KE2014DHS,1,24.7,CNNUTSCHA2,1,KEDHS2014416081,2014,DHS,2014,104236020,KE,NA,Kenya,I,416081,Region,CN_NUTS_C_HA2,1416081,..Siaya,NA,465,423,NA,0,0,NA
1917760,Children stunted,KE2014DHS,1,18,CNNUTSCHA2,1,KEDHS2014416082,2014,DHS,2014,104236020,KE,NA,Kenya,I,416082,Region,CN_NUTS_C_HA2,1416082,..Kisumu,NA,437,492,NA,0,0,NA
1712940,Children stunted,KE2014DHS,1,18.7,CNNUTSCHA2,1,KEDHS2014416083,2014,DHS,2014,104236020,KE,NA,Kenya,I,416083,Region,CN_NUTS_C_HA2,1416083,..Homa Bay,NA,537,621,NA,0,0,NA
1266654,Children stunted,KE2014DHS,1,26.4,CNNUTSCHA2,1,KEDHS2014416084,2014,DHS,2014,104236020,KE,NA,Kenya,I,416084,Region,CN_NUTS_C_HA2,1416084,..Migori,NA,605,526,NA,0,0,NA
3202807,Children stunted,KE2014DHS,1,25.5,CNNUTSCHA2,1,KEDHS2014416085,2014,DHS,2014,104236020,KE,NA,Kenya,I,416085,Region,CN_NUTS_C_HA2,1416085,..Kisii,NA,462,511,NA,0,0,NA
1082613,Children stunted,KE2014DHS,1,25.5,CNNUTSCHA2,1,KEDHS2014416086,2014,DHS,2014,104236020,KE,NA,Kenya,I,416086,Region,CN_NUTS_C_HA2,1416086,..Nyamira,NA,354,195,NA,0,0,NA
